address,price,bedrooms,bathrooms,url
"2218 Jackson Ave #407, Long Island City, NY 11101","$995,000",1 bd,1 ba,https://www.zillow.com/homedetails/2218-Jackson-Ave-407-Long-Island-City-NY-11101/2084711118_zpid/
"3 Court Sq #3204, Long Island City, NY 11101","$1,198,000",1 bd,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-3204-Long-Island-City-NY-11101/2077411398_zpid/
"27-20 42nd Rd #6E, Long Island City, NY 11101","$1,360,000",2 bds,2 ba,https://www.zillow.com/homedetails/27-20-42nd-Rd-6E-Long-Island-City-NY-11101/350373390_zpid/
"3006 36th Ave, Astoria, NY 11106","$2,275,000",3 bds,3 ba,https://www.zillow.com/homedetails/3006-36th-Ave-Astoria-NY-11106/31938930_zpid/
"29-18 41st Ave, Long Island City, NY 11101","$1,399,000",2 bds,2 ba,https://www.zillow.com/homedetails/29-18-41st-Ave-Long-Island-City-NY-11101/442172752_zpid/
"29-18 41st Ave UNIT 24C, Long Island City, NY 11101","$1,478,000",2 bds,2 ba,https://www.zillow.com/homedetails/29-18-41st-Ave-UNIT-24C-Long-Island-City-NY-11101/442161419_zpid/
"37-34 33rd St UNIT 5F, Long Island City, NY 11101","$1,252,100",2 bds,2 ba,https://www.zillow.com/homedetails/37-34-33rd-St-UNIT-5F-Long-Island-City-NY-11101/2054782791_zpid/
"1136 45th Rd #305B, Long Island City, NY 11101","$1,715,000",2 bds,2 ba,https://www.zillow.com/homedetails/1136-45th-Rd-305B-Long-Island-City-NY-11101/450101693_zpid/
"11-52 44th Dr #6D, Long Island City, NY 11101","$795,000",1 bd,1 ba,https://www.zillow.com/homedetails/11-52-44th-Dr-6D-Long-Island-City-NY-11101/442302972_zpid/
"1136 45th Rd #204A, Long Island City, NY 11101","$1,485,000",2 bds,2 ba,https://www.zillow.com/homedetails/1136-45th-Rd-204A-Long-Island-City-NY-11101/450096430_zpid/
"5 Court UNIT 6A, Long Island City, NY 11101","$1,538,000",2 bds,2 ba,https://www.zillow.com/homedetails/5-Court-UNIT-6A-Long-Island-City-NY-11101/442166618_zpid/
"2401 Queens Plz N #204, Long Island City, NY 11101","$955,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-204-Long-Island-City-NY-11101/449869729_zpid/
"3902 29th St, Long Island City, NY 11101","$3,700,000",8 bds,5 ba,https://www.zillow.com/homedetails/3902-29th-St-Long-Island-City-NY-11101/31936664_zpid/
"27-17 42nd Rd #5H, Long Island City, NY 11101","$950,000",1 bd,1 ba,https://www.zillow.com/homedetails/27-17-42nd-Rd-5H-Long-Island-City-NY-11101/442160435_zpid/
"3714 34th St #N3E, Long Island City, NY 11101","$895,000",1 bd,1 ba,https://www.zillow.com/homedetails/3714-34th-St-N3E-Long-Island-City-NY-11101/2078983177_zpid/
"24-16 Queens Plz S #3G, Long Island City, NY 11101","$899,000",1 bd,1 ba,https://www.zillow.com/homedetails/24-16-Queens-Plz-S-3G-Long-Island-City-NY-11101/2078123795_zpid/
"29-18 41st Ave UNIT 10A, Long Island City, NY 11101","$980,000",1 bd,1 ba,https://www.zillow.com/homedetails/29-18-41st-Ave-UNIT-10A-Long-Island-City-NY-11101/442171178_zpid/
"24-01 Queens Plaza North #1005, Long Island City, NY 11101","$1,800,000",2 bds,2 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1005-Long-Island-City-NY-11101/448691471_zpid/
"24-01 Queens Plaza North #1406, Long Island City, NY 11101","$1,175,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1406-Long-Island-City-NY-11101/448691258_zpid/
"24-01 Queens Plaza North #606, Long Island City, NY 11101","$1,075,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-606-Long-Island-City-NY-11101/441852823_zpid/
"11-52 44th Dr #2C, Long Island City, NY 11101","$815,000",1 bd,1 ba,https://www.zillow.com/homedetails/11-52-44th-Dr-2C-Long-Island-City-NY-11101/444366299_zpid/
"2401 Queens Plz N #1502, Long Island City, NY 11101","$1,760,000",2 bds,2 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1502-Long-Island-City-NY-11101/441852828_zpid/
"27-09 40th Ave #3B, Long Island City, NY 11101","$1,260,000",2 bds,2 ba,https://www.zillow.com/homedetails/27-09-40th-Ave-3B-Long-Island-City-NY-11101/402822037_zpid/
"2401 Queens Plz N #407, Long Island City, NY 11101","$1,080,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-407-Long-Island-City-NY-11101/449871100_zpid/
"27-28 Thomson Ave #S415, Long Island City, NY 11101","$1,465,000",1 bd,2 ba,https://www.zillow.com/homedetails/27-28-Thomson-Ave-S415-Long-Island-City-NY-11101/448214831_zpid/
"27-20 42nd Rd #7D, Long Island City, NY 11101","$1,500,000",2 bds,2 ba,https://www.zillow.com/homedetails/27-20-42nd-Rd-7D-Long-Island-City-NY-11101/402346081_zpid/
"27-21 44th Dr #1601, Long Island City, NY 11101","$1,485,000",2 bds,2 ba,https://www.zillow.com/homedetails/27-21-44th-Dr-1601-Long-Island-City-NY-11101/442166302_zpid/
"2401 Queens Plz N #205, Long Island City, NY 11101","$1,575,000",2 bds,2 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-205-Long-Island-City-NY-11101/441852831_zpid/
"46-30 21st St #9A, Long Island City, NY 11101","$1,750,000",2 bds,2 ba,https://www.zillow.com/homedetails/46-30-21st-St-9A-Long-Island-City-NY-11101/402090843_zpid/
"46-30 21st St #9C, Long Island City, NY 11101","$1,140,000",1 bd,1 ba,https://www.zillow.com/homedetails/46-30-21st-St-9C-Long-Island-City-NY-11101/402090324_zpid/
"3 Court Sq APT 5512, Long Island City, NY 11101","$2,088,888",2 bds,2 ba,https://www.zillow.com/homedetails/3-Court-Sq-APT-5512-Long-Island-City-NY-11101/2056958759_zpid/
"37-26 32nd St #5J, Long Island City, NY 11101","$1,350,000",2 bds,2 ba,https://www.zillow.com/homedetails/37-26-32nd-St-5J-Long-Island-City-NY-11101/2055411733_zpid/
"11-52 44th Dr #7B, Long Island City, NY 11101","$1,365,000",2 bds,2 ba,https://www.zillow.com/homedetails/11-52-44th-Dr-7B-Long-Island-City-NY-11101/442302987_zpid/
"5-09 48th Ave #4-J, Long Island City, NY 11101","$685,000",Studio,1 ba,https://www.zillow.com/homedetails/5-09-48th-Ave-4-J-Long-Island-City-NY-11101/83053646_zpid/
"36-11 31 Street, Long Island City, NY 11106","$2,100,000",5 bds,3 ba,https://www.zillow.com/homedetails/36-11-31st-St-Astoria-NY-11106/2066650317_zpid/
"2145 44th Dr APT 4C, Long Island City, NY 11101","$985,000",1 bd,1 ba,https://www.zillow.com/homedetails/2145-44th-Dr-APT-4C-Long-Island-City-NY-11101/117614160_zpid/
"45-30 Pearson St #6F, Long Island City, NY 11101","$685,000",Studio,1 ba,https://www.zillow.com/homedetails/45-30-Pearson-St-6F-Long-Island-City-NY-11101/2058212719_zpid/
"24-01 Queens Plaza North #201, Long Island City, NY 11101","$910,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-201-Long-Island-City-NY-11101/447342949_zpid/
"4262 Hunter St #11A, Long Island City, NY 11101","$1,420,000",2 bds,2 ba,https://www.zillow.com/homedetails/4262-Hunter-St-11A-Long-Island-City-NY-11101/448215683_zpid/
"37-26 32nd St #4G, Long Island City, NY 11101","$897,967",1 bd,1 ba,https://www.zillow.com/homedetails/37-26-32nd-St-4G-Long-Island-City-NY-11101/405835895_zpid/
"24-01 Queens Plaza North #1307, Long Island City, NY 11101","$1,170,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1307-Long-Island-City-NY-11101/441852824_zpid/
"1136 45th Rd #401A, Long Island City, NY 11101","$1,630,000",2 bds,2 ba,https://www.zillow.com/homedetails/1136-45th-Rd-401A-Long-Island-City-NY-11101/452825558_zpid/
"3 Court Sq APT 4606, Long Island City, NY 11101","$1,269,999",1 bd,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-APT-4606-Long-Island-City-NY-11101/2061737362_zpid/
"24-01 Queens Plaza North #908, Long Island City, NY 11101","$1,245,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-908-Long-Island-City-NY-11101/448691290_zpid/
